feature_name,mean,median,std,count
DUMMY_0523,2.9060505773722887,2.5209433103404795,1.6257572930975401,35
DUMMY_0500,2.943334104899136,2.8605200191964526,1.9273218378541892,10
antisense_TRMU,3.267646005478092,2.7937865962682356,2.1282516145672776,3060
antisense_MYLIP,3.378420152641199,2.9008940099462786,2.258069907383869,1158
CEACAM8,3.4241984357534307,2.895145220623397,2.2612502677224935,1604
DNAAF1,3.450237333908626,3.0669158271478976,2.120901559256279,4548
MLPH,3.4525471788144264,3.066456870232752,2.090843303658876,113388
CCR7,3.4544376011537534,2.944401549555444,2.2678353320715727,1516
DUMMY_0504,3.45499267892079,3.2414461284395513,1.9681603193483066,130
SLC4A1,3.455120127030375,2.970681689679342,2.238070851963748,1248
MUC6,3.4992520117628008,3.027940705886596,2.1939579304254546,1891
CLCA2,3.507110080332477,3.0283896298396007,2.297326974441977,1355
APOBEC3A,3.508348420428495,2.979960272666859,2.334221780768977,2251
KRT16,3.519174633477057,3.0785705374382095,2.2443217059291714,1877
KRT6B,3.5397347203662446,2.9882615815971434,2.26053788327855,1737
antisense_SCRIB,3.545731641007364,3.111037075832648,2.206000017442971,1371
CSF3,3.5673480197619947,2.9604740310146465,2.4417874172835616,920
ANKRD30A,3.5756846928240242,3.1438630960271188,2.222999463774738,289845
ERCC-00003,3.5918465350517157,2.9942892630220213,2.4067100029447324,82
PIGR,3.5934334584529157,3.09808361171456,2.321978394578054,1770
CYP1A1,3.596355010451737,3.1285035486017785,2.2819435266147674,1441
MPO,3.5987039064392037,3.0240682195674626,2.387976356013548,772
KLRC1,3.6017624543637505,3.168198044607133,2.228465586246512,2469
UCP1,3.603927454661856,3.2274848721379183,2.1963632269102766,850
antisense_BCL2L15,3.618013457089969,3.083111535808107,2.449304360385524,1585
RAPGEF3,3.626653261106056,3.1268832678831,2.3283960181030134,6532
DUMMY_0520,3.6351657130152626,2.9717015491642784,2.2747678763405252,45
SPIB,3.639518623454693,3.165819150919784,2.3707770841871,1330
CXCL5,3.6509228057212355,3.2172417331090113,2.2504152998251605,1214
antisense_ULK3,3.650998764208099,3.160604925333375,2.4704660389098385,1153
SERHL2,3.67467762764921,3.323821876803705,2.1581497672032226,11490
MS4A1,3.6755090613385253,3.2448120012700814,2.2070136319217886,1252
MYBPC1,3.6829897976100567,3.2921642350989315,2.161474249249968,2725
PDCD1,3.683252519636664,3.1133496059988754,2.3814547858626858,296
HPX,3.6863583147805437,3.21130809797769,2.25122723307295,2291
CTLA4,3.687212918900081,3.146025032660966,2.3769142578031306,1602
OPRPN,3.6917923210877084,3.1881846486016374,2.2460663455891963,747
CD19,3.704913889769885,3.2194042415344066,2.3430776750428692,796
ABCC11,3.7087488552652537,3.388450811270722,2.105805016398733,8572
HDC,3.709051948385278,3.2110032821787997,2.32631292899927,6864
HOOK2,3.7092964263253387,3.1992305591252013,2.393643114643137,11523
KLRF1,3.7167512358544625,3.2072145069695317,2.408732597873869,1562
antisense_ADCY4,3.72435704067842,3.243142024864031,2.3481355930569254,1122
ELF5,3.724543929560852,3.3582041822408035,2.194814104464876,4542
DUMMY_0539,3.7349184907776327,3.3871840800711386,2.062229749836151,40
CCL20,3.7427572441859547,3.2939976558140724,2.272410351417483,1096
DUMMY_0519,3.7479056951853624,3.447656466058904,2.324066283248642,52
SLAMF1,3.7487589900843283,3.273285178280319,2.3825200327658607,3024
TCL1A,3.7593758979214806,3.2977674740886753,2.284496872399832,1568
MMP12,3.766077668129276,3.324999395569114,2.3181114520989174,1239
DUMMY_0529,3.7728519174306854,3.5789814877815735,1.5662222730207855,31
TRAF4,3.7808441840310896,3.3859738589785886,2.246345136114968,11893
DERL3,3.783065029486673,3.255981203247609,2.4436276935865027,2448
POLR2J3,3.7847906317205497,3.3062367517730626,2.3608595620762514,83178
RTKN2,3.7863533686967785,3.3437539355317782,2.30372629983898,4394
ERCC-00017,3.7916411163250547,3.1965636366981753,2.4193572498435207,73
OXTR,3.7935462300737894,3.349939897401986,2.3082109005364497,1726
ERN1,3.794013959153401,3.32843804937468,2.322584540550203,17477
DMKN,3.797173055964093,3.2026945286961035,2.5081049937387125,1931
KRT5,3.8183346897252313,3.2491673620222334,2.558988759620668,1038
KLF5,3.8325007620731983,3.3989901780119784,2.300147747398475,2039
GZMB,3.8386755529666945,3.1940967298961476,2.5521096192694435,1382
LAG3,3.841567603012629,3.3154064591785173,2.4337075481253585,1481
CD79B,3.8555514691596704,3.1864621355303915,2.583180974380299,833
SSTR2,3.8625134497976137,3.3691178053424875,2.4099450943705336,1593
ESR1,3.8640154378142277,3.508854320491496,2.2064707456556194,151389
FOXP3,3.8698932073423484,3.4277220782649973,2.3922901990929635,1347
LTB,3.8778267286752865,3.495752716040803,2.3726454261181114,321
DUMMY_0528,3.8796049099874503,3.654375572901318,2.1827267402257586,70
CD274,3.885068452573951,3.3461105494620917,2.4705979696445852,1832
CD1C,3.8997081818821306,3.492751478878778,2.2830538544725636,1672
APOBEC3B,3.900087754264209,3.4017408909241236,2.474426580782762,4204
ELF3,3.9032986344287495,3.5103139377875916,2.2795605063709123,9222
AHSP,3.9051697508579526,3.2899926038303233,2.5271212213356162,936
DUMMY_0507,3.9063567834801627,3.2631047955590353,2.3723508997392924,31
MMP1,3.9140249619503034,3.2800566106328555,2.5989221413607013,1400
CLECL1,3.9213113798746138,3.389435136928264,2.462221615066979,1503
DUMMY_0515,3.9285101033814556,3.146400516988657,2.616579711044817,86
CTH,3.933611223203463,3.379901343451273,2.5555599909837885,2262
CD8B,3.946574749134315,3.458387436343121,2.4110425603028562,3728
TNFRSF17,3.950660591218439,3.4654656806523967,2.388896997010697,1650
RORC,3.9559052443812113,3.5383916536962423,2.3427601976399246,4271
DUMMY_0512,3.95722224489088,3.3495026492536772,2.4510098559893803,31
TFAP2A,3.9654913380823604,3.620208372738019,2.229059936512105,19902
CRHBP,3.9759685576115182,3.502760360411858,2.5505661844456378,515
SELL,3.9787625226231977,3.4378261463276063,2.502578418361136,2502
DUSP2,3.97988447870702,3.471229002233233,2.3823205933797698,1422
KRT14,3.980354516260578,3.4243127128034665,2.495034728088745,1197
C6orf132,3.980886310944863,3.5739583486199886,2.3452729433408943,6634
KRT15,3.9826267050852,3.3388115817324397,2.6644980602678707,2292
AR,3.9827266785498,3.6292973516228524,2.212276222237297,25613
KLRD1,3.9883470755438397,3.421811804536785,2.525562833628246,1833
LILRA4,4.004745398833447,3.458763640814413,2.5296568174561074,1585
LARS1,4.005514275505679,3.5330645711290107,2.4813409765066656,22215
RHOH,4.005743157990121,3.671446387466223,2.22841964029814,47361
RAB30,4.007283709740439,3.6000191810045803,2.3668003529112656,24672
ANKRD29,4.00812351058835,3.432450595324025,2.559200874286315,2906
TCF15,4.010911289685041,3.548836493332944,2.4520762105844764,569
MAP3K8,4.0144442790064465,3.4730355170037823,2.522350405987498,5373
SLC5A6,4.023046147099401,3.556783520722572,2.438110219311147,11263
MYO5B,4.028648245775745,3.6266936133416725,2.336875063660933,15102
PGR,4.029679496479188,3.703873984092261,2.216606725885307,43843
PCLAF,4.032122316674762,3.616083024776464,2.343176711824361,3382
THAP2,4.045846737854883,3.5307918037906347,2.5000583548693562,4246
CD80,4.055065623805623,3.6829527727659412,2.419120501182909,924
FASN,4.057742101453117,3.67451055011892,2.366678991547816,18690
NDUFA4L2,4.060382938040815,3.461961627513833,2.633760479210021,773
CD27,4.065270742290908,3.4986027189925255,2.533487904476123,1171
ERBB2,4.07331722046535,3.6822664317090426,2.3533524204413387,46305
CTSG,4.076710831581732,3.5108341710504867,2.651326445915881,973
GATA3,4.077735681524802,3.7229669937215912,2.279080983789714,143107
DUMMY_0525,4.078694352128067,3.5860579611414085,2.2532645515646497,77
ERCC-00016,4.084195264772641,3.581289874634927,2.4066397706508127,52
REXO4,4.086637320013593,3.594435821414816,2.6319093687456774,2272
SRPK1,4.08886225496713,3.6643643527621665,2.433849755024344,11522
TIGIT,4.092349474696195,3.6183090630455927,2.49457107450114,1496
BANK1,4.0940074550701295,3.4751216286105353,2.7414969994100944,1653
CENPF,4.094344367674988,3.6912686079751795,2.417675588377708,3798
DUSP5,4.106590001719122,3.7100469433296994,2.356279459468804,6116
CLDN4,4.1070735398341265,3.7376859742810797,2.3013586510130493,7037
CD3G,4.117516178817497,3.5140076196109775,2.6950394714064965,2374
CD247,4.119309646839559,3.6436681119806194,2.4913916711509287,1994
EDN1,4.120793316977863,3.5923590259719234,2.6431721013013427,1476
FOXA1,4.12242918291829,3.7926535862875475,2.239486950969733,65599
GNLY,4.124751405020177,3.4964555805072255,2.6323436854287805,808
KRT8,4.126847054709203,3.7260515107669185,2.380555799115105,44562
SCGB2A1,4.146086601299325,3.7441043341619378,2.3698724585961504,4001
FLNB,4.1571898750283,3.7844094118689795,2.376979546521328,85190
antisense_LGI3,4.162071406397265,3.5666977048985364,2.6403490891126333,463
C15orf48,4.163086064474432,3.8380340962373993,2.3030943446235184,15712
SLC25A37,4.163712282432135,3.6129952976861164,2.6882992559475496,3526
NOSTRIN,4.165454753141942,3.787453420288534,2.383141744326985,20950
CD69,4.165533696594169,3.536430720644718,2.628321123401839,1769
AGR3,4.16734951149688,3.8412947532902333,2.2484626302306308,44444
PRF1,4.176229542794007,3.531858271913041,2.7530021667105835,1337
KLRB1,4.179355891418139,3.5626900668457164,2.6735837613247777,2184
EPCAM,4.180252988720137,3.8438200168868533,2.2798542421569516,46381
AQP3,4.184196237600489,3.837509396066461,2.278699049426131,8975
S100A14,4.186803361189634,3.7508828986091336,2.458512594150605,3299
TPD52,4.188584664686878,3.875489537493641,2.244728926648661,71130
SH3YL1,4.195521071302246,3.806390583477405,2.372965337899813,24666
FSTL3,4.197851169694783,3.5781863983562916,2.752673516599853,5949
TCF7,4.1998647389449655,3.668992503640477,2.757683466530988,2037
TOP2A,4.200597175895453,3.7723683539369977,2.4987094791108,6213
IL7R,4.2014078313775585,3.5879883895945412,2.707569921113788,1986
CLIC6,4.201493373803129,3.794016190398511,2.39625586154661,15779
KRT23,4.206301131514271,3.7948730787555434,2.3979134295224305,11195
CEACAM6,4.207127930057586,3.842362262086897,2.347843326176947,14469
LYPD3,4.208105847986634,3.8598163065154463,2.336224715832968,13324
LGALSL,4.210766284963536,3.785493829210994,2.4574486973285237,4435
TENT5C,4.21297373685735,3.7957285798212377,2.4430901278052795,8194
CD83,4.2227026270272265,3.6570426975153305,2.7103398361743367,3409
C2orf42,4.22427033913004,3.6988413160194495,2.606782962783224,3533
SEC24A,4.2250219259384485,3.752651318435859,2.5979340072018737,10951
ZNF562,4.2304881976581274,3.7686874047284467,2.521344872374774,15105
TUBB2B,4.2409023374758865,3.6383167975510537,2.7797566526651245,2107
AVPR1A,4.243968605438962,3.6751381304086896,2.6210045918164258,1530
SERPINA3,4.244208493728401,3.9609330741542945,2.196404581838422,242881
ITGAX,4.244272319892113,3.7327100772793615,2.5635753007626434,4680
TRIB1,4.258861287741741,3.7456235341067377,2.5367793145477764,4381
HMGA1,4.259814047921233,3.867676012443888,2.456257783477462,19180
DUMMY_0533,4.261479919735654,3.727668116822736,2.913922713289822,65
KRT7,4.263229666456802,3.843675253116411,2.4414208580971986,14856
SLAMF7,4.263265438343974,3.6556921717060074,2.6570064204735147,3135
CDH1,4.266247965790813,3.9085262286807927,2.3313951953451983,27996
ERCC-00042,4.278417428980514,3.8097621657439746,2.7896038602768183,113
RUNX1,4.28287221694551,3.74481590810115,2.6731093755233153,58521
FOXC2,4.286333659729491,3.7329679346120725,2.659302802955075,1264
ANKRD28,4.295538817420845,3.8115144055963377,2.5440967954153457,14596
DSP,4.299238862615418,3.960573153010654,2.292134138276808,33388
TACSTD2,4.30018222737523,3.9696548571603154,2.2894527216373683,170814
CLEC9A,4.309777418313202,3.683165685042603,2.8183715176266606,1167
USP53,4.310012876764627,3.8303849690625076,2.5544785884141588,18373
ERCC-00025,4.3147019647002205,3.680607198656644,2.8963015839456463,42
CD3E,4.315771420607418,3.7668143469054405,2.720665405966629,5918
DUMMY_0532,4.330076231764679,3.8752824491590605,2.475298200848513,30
DNTTIP1,4.330614631533293,3.878810223821088,2.5738026682224815,6733
IL3RA,4.335528163090708,3.820887041201729,2.5850360292078376,1905
FBLIM1,4.337548410535467,3.8408796305111874,2.675624662152246,12643
SOX17,4.34329173580454,3.7883026653427363,2.608343891214182,2859
ERCC-00019,4.344951351848286,3.5625338216293096,2.567121422352267,75
CCND1,4.346529783924917,3.942890382200701,2.4659012708001344,98905
CD3D,4.351431322187956,3.7487932099453802,2.794775378332286,1691
NKG7,4.35955467858401,3.7961115836146675,2.690758839974291,1162
WARS1,4.362350832955882,3.896958807054021,2.5602496366429723,11333
CLDN5,4.364964490628911,3.7095164729560994,2.8902904153285953,1629
SCD,4.367730668096286,3.970468693087893,2.4952778441921217,18314
TIFA,4.37076808668054,3.8836740205020615,2.5431894366505707,7583
CYTIP,4.3720223973332555,3.685582628768114,2.7840732730901707,2111
OCIAD2,4.37330890733938,3.957218539732376,2.4614573995100972,7382
TAC1,4.374365456244145,3.745587338663353,2.775168760858315,1211
TCIM,4.378086870453198,3.875442330292217,2.6303949654197103,17770
MZB1,4.379884323882301,3.8142304089429526,2.765290439100555,1938
SDC4,4.381919302107647,4.01714381503093,2.3881637319171634,28439
CD9,4.3847459353390175,3.992962502471099,2.4447934561268094,32345
ERCC-00009,4.385093349392533,3.626332963339763,2.8756364999614226,100
NARS1,4.395741392286106,3.9605731254608885,2.5240708890930312,27428
