Combination,Silhouette
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_False_norm_True_log_True_louv,0.059597648680210114
nuc_qv0_ng20_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,0.000439451658166945
nuc_qv20_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.005181338172405958
nuc_qv0_ng16_pc0_tsNone_hvg_False_scale_True_norm_True_log_True_louv,-0.007781216409057379
cell_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.007822050713002682
DEFAULT_louv,-0.011170873418450356
nuc_qv30_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.015400588512420654
nuc_qv0_ng16_pc0_ts1000_hvg_False_scale_True_norm_True_log_True_louv,-0.01707116886973381
nuc_qv0_ng16_pc25_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.018198227509856224
nuc_qv0_ng12_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.019452545791864395
nuc_qv0_ng16_pc0_ts10_hvg_False_scale_True_norm_True_log_True_louv,-0.022010717540979385
nuc_qv0_ng16_pc15_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.030044520273804665
nuc_qv0_ng6_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.03083724156022072
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_False_log_True_louv,-0.03515451401472092
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_False_louv,-0.07793313264846802
nuc_qv0_ng16_pc0_ts100_hvg_True_scale_True_norm_True_log_True_louv,-0.10750073939561844
