feature_name,mean,median,std,count
CCL5,2.9388651643855925,3.0146240989429494,1.3340400533567867,6
GZMA,4.886887577886378,4.309883272007015,2.137242666087329,6
IDO1,4.951084659177713,4.435334617991268,3.4475767877649113,16
SLC11A1,5.054687267408645,4.793443557559168,3.434962600277606,87
IL7R,5.0861933039769855,5.06137866589083,1.6236328345576831,20
STXBP2,5.130492190927436,3.9850001278035476,3.585418146867716,86
CCL4,5.188868112143867,4.465422442522826,3.045185997224473,34
RYR3,5.267323035826709,4.536080114407715,3.4069631716856175,789
ITGAX,5.28682584990417,4.824111451893619,3.2092376540084655,247
ADAMTS12,5.320458978678025,5.461908387934818,3.3589900385341,17
NDST4,5.431479523535572,5.005016140671186,3.0794178121907643,44
CD48,5.542733691198658,5.665640679588901,3.089451266457234,11
FASLG,5.558807779112539,5.343827027530179,3.040312799495224,14
SLC26A4,5.665881733557538,5.290792011678722,3.130735372112171,66
COL12A1,5.764347330213077,4.719465823919039,3.681951275294396,433
ATP10A,5.774278913161598,4.9972491028171735,3.61813043701309,698
C1orf162,5.840696336307144,5.123148147932402,3.650646077227301,204
CH25H,5.8434147554668625,5.267850177542949,3.35279668853078,55
ITGAM,5.876726250780195,5.614062654225176,3.709984204482208,139
CNTNAP3B,5.896582798993249,5.121117872968167,3.7879860204502545,1273
ERBB3,5.957341839477541,5.4890983709025605,3.423935633255373,487
CD3G,5.990625222797622,5.496150271553149,2.6245944040098346,16
TRPC6,6.013895727219046,5.4636655698713525,3.543935498446353,346
MYRF,6.021688557342596,5.626270132613182,3.564165194815431,288
CNTNAP3,6.033794203246793,4.987982252165371,3.877752478319119,664
KLF2,6.038584614326295,5.576307653103763,3.4998839040680347,330
ADAMTS16,6.052056936907511,4.830810413431553,3.934877998586541,58
HTR2C,6.057328055552668,4.9563224814705436,3.7203152084923357,73
CD2,6.094559506688653,5.120824427114501,3.2120028864905166,24
CDH1,6.1101552545048845,5.407241443787973,3.5136853785452327,100
ANKRD18A,6.15859530299962,5.436411701623751,4.094238253274578,341
PTPRC,6.197000620051122,5.630082565690676,3.890030767329083,311
SDK1,6.199423970788099,5.658080191231457,3.5563115826825444,364
PHLDB2,6.209816290925626,5.486402045809872,3.783785452906611,341
POSTN,6.213618179889604,5.526964061927426,4.335952729327892,62
ITGA8,6.220469722545638,5.455890960962116,3.720542838555704,270
HHATL,6.226592143223392,5.425453761462366,3.852954280723111,1749
CSPG4,6.282836963976015,5.47529904668315,3.7159721047584253,264
CAPN3,6.286487495501755,5.845864939851551,3.4429266221897223,1045
GPR183,6.290595206924833,5.3565075747002515,4.267319708967252,55
ALK,6.297946712960598,5.683417192507182,3.7699972395453485,250
THSD7B,6.307918011539137,5.844291409994238,3.7091172689018648,100
LYPD6B,6.317225070168625,5.306902763517419,4.094459775072846,128
MAG,6.343569366700222,5.879072491626316,3.503389950909501,783
ST18,6.348343317742569,5.363942384648567,3.911202424646769,559
CD14,6.353841876705715,6.162329659024839,3.6043832825318103,96
CCNB2,6.402464433208639,5.141821404687118,4.702138971778312,37
RNF144B,6.474524608312161,5.594808271481085,3.9544138893856937,439
EYA4,6.488894166600653,6.209360438554884,3.6682178330231223,157
SAMD5,6.510310550425522,5.741352089642354,4.177139526878608,230
VIP,6.53377393911248,5.816252864607931,3.798086781752442,1143
VCAN,6.53632447724879,6.259047555831562,3.653083434632487,286
PLCE1,6.539198555999345,5.812089105766699,3.7079037177375644,316
ADAM17,6.543325759497049,5.690802462820605,4.0819151070383155,1713
MOG,6.567491121945194,6.119059515927633,3.595692817049776,4090
PECAM1,6.586877524805725,5.989437801801673,3.8240907238786264,632
ITGB2,6.588151304969913,6.132661592764601,3.746270244586242,129
VSIG4,6.596155813379533,5.914252327625749,3.9637940757883565,207
LRRK1,6.614728240566535,5.781476889285742,3.8678809613981744,241
DUSP1,6.630872054058945,5.84996317532554,3.9487340609164563,1413
CCN2,6.63560201048123,5.866143976958377,3.9403509673403097,876
FLT1,6.643763656222157,5.950420862255617,3.988746725915967,1951
COL1A2,6.653604905331456,5.6844804222303935,4.052994280676074,68
LYVE1,6.6596177057764905,5.969017175163303,3.733956111797999,356
P2RY13,6.674810230283198,5.735790963638252,4.078117042253923,198
CEMIP,6.678773033806933,6.040851023418519,3.9402901827728067,369
HLA-DMB,6.688306065421534,6.069841471920183,4.093801021402707,177
NOTCH1,6.691257912372233,6.014780133390622,3.9550864598696003,1172
TOP2A,6.694384686723354,5.880293590283098,3.1468678101886236,23
CAV1,6.696743268367943,6.095840569967242,3.8503350039443833,209
THSD4,6.697049751506471,5.985939630463807,4.037669536684232,303
KLF4,6.707905589276055,5.931514827205005,4.14040482819392,112
CLDN11,6.710586562455928,6.324941799939391,3.6188457510692715,2694
CNDP1,6.724532967351722,6.125463197621417,3.68054073374644,2979
STK32B,6.727051080751523,6.138318226112661,4.520030387885653,55
NPY1R,6.73672624556314,5.722740018088148,4.003639273405828,760
RELN,6.752168308929362,5.831727452645222,4.166038002898315,1011
NPNT,6.754136706121183,5.912781589243693,4.045023472188553,171
CEMIP2,6.754793039614521,6.011964674797208,3.8949718147575902,1174
CNTN2,6.759407190543659,6.109768964619541,3.7896753974376867,2621
DCN,6.7671513527491545,6.104204389575298,3.853786201776822,693
UGT8,6.780950373839891,6.253206521984148,3.8073325545283474,2227
RGS16,6.7836488279162905,6.218899272878701,3.978646416861639,142
MS4A6A,6.816649083591744,6.397745423403307,4.052411865833743,90
ZBBX,6.81816705003155,6.1420393328218665,4.239034290331295,490
RNASET2,6.824571242834263,5.821915162502771,4.177456847962168,929
UNC5B,6.8286743397006875,6.3504880433744075,3.786657878925834,559
NR2F2,6.835689803942709,6.239580520110484,3.8845695590486606,651
HILPDA,6.847797622704128,5.991938418160027,4.192052951368874,670
ANGPT1,6.875165070902469,6.090018590222806,4.000978790242391,96
CX3CR1,6.88319762380694,6.2865375294931605,3.892644113459184,287
CTNNA3,6.885724407552186,6.023271092593021,4.227834044670077,174
ADAMTS3,6.906312759379333,5.877667815571055,4.041701239477319,124
MEPE,6.915981874231265,6.018098215999954,3.997618617240053,240
LAMA2,6.924289873689036,6.115196222585498,4.15967947428034,783
TENM1,6.93989979592802,6.363949624344313,3.8206428343322543,505
ZDHHC23,6.946766763311064,6.170072809630264,4.141915324741335,674
B4GALNT1,6.950786018173744,6.312482767495493,4.136427669211437,2520
SOX10,6.952130759279375,6.347306301986387,4.0558121367408875,635
SST,6.9530828671156915,6.3407565734361,3.9691655442177916,882
OTOGL,6.959911747597196,6.332992816014406,4.060800046875656,276
KLK6,6.97099386606592,6.575493678968492,3.6118212680338453,164
PLD5,6.973467149659008,6.266144259452174,3.9504843405537367,386
ATP2C2,6.974353881477393,6.234001202469324,4.263270653248586,228
OPALIN,6.985910160781874,6.426596291183827,3.819797155034706,2655
FCGBP,6.9929909967399855,6.523839448594286,4.218740211656575,88
VWC2L,6.993917940240844,6.227231731438899,4.202759310390882,522
PDGFD,7.021469807702265,6.236029697662445,4.329222306488713,129
PSEN2,7.0260386928345975,6.165362151602595,4.297490289618658,364
SLC6A1,7.034047027278843,6.303183167978862,4.024428187674487,8087
PTCHD4,7.03445444838875,6.194277186863186,4.242656736039231,562
GAD1,7.0373003299638786,6.265360586040199,4.058446188568413,1072
POU6F2,7.047600585462963,5.650138257147849,4.481241211628463,243
NXPH2,7.067334612710453,6.37986714396997,4.023542603385765,150
COL25A1,7.074193350687151,6.436230653436612,4.04808511868355,287
TREM2,7.078574225412891,6.09233091087405,4.522848307263408,100
ANXA1,7.095074697318734,6.2577938039298004,4.354006843012911,219
KIT,7.0976919472750915,6.496867326273897,4.1046542053688135,1150
ERMN,7.121398606767936,6.50028455169659,3.9198743523678625,2815
RFTN1,7.126775346056561,6.395037920166209,4.127189806268609,557
OLIG2,7.128855148358627,6.57287399928485,3.902760216197669,719
ROS1,7.134419232902778,6.184873396589053,4.332868047552422,287
HES1,7.139115657419737,6.464313724771683,4.280074951644136,408
NPFFR2,7.1569723675061585,6.422505827832094,4.508225055137814,20
FCGR3A,7.157505337085624,6.411159445962368,4.06289772302736,163
EGFR,7.172693846939993,6.381910543259178,4.230356650866186,1942
TACR1,7.173931224844052,6.238689603692864,3.8027390203678215,133
GPNMB,7.179618640347539,6.298835264576674,3.9866529826253325,383
MYO5B,7.182883452766857,6.483575801015909,3.92711753958579,85
PCSK6,7.1955329352043975,6.426765633577948,4.218059670116207,908
IDH1,7.200193184625751,6.539987285240644,4.052770084019512,915
SORCS1,7.2008305612472405,6.3524797128672805,4.044232302584601,867
SYNPR,7.201264256723254,6.580576244950198,4.066828162365867,3750
SLC24A3,7.204543314477913,6.521195276131547,4.2003430573875,175
CDH12,7.209859165673697,6.532716535278215,3.9703510703961857,969
SPOCK3,7.211932762136029,6.516341326068004,4.076335117722609,5910
THBS1,7.219306411632516,6.3301507141709195,4.426647648059432,154
NCSTN,7.228106675274926,6.543793508917853,4.173106578205732,750
TMEM132C,7.2282599055205425,6.365790386173099,4.232588011419559,706
RAPGEF5,7.250184238104057,6.5749180749515075,4.080077689102829,8265
SFRP2,7.257254647419357,6.477918185578842,4.170373643679302,135
PCNA,7.269533366863834,6.7176560628024955,4.098294307565881,1125
TAC1,7.271910048306051,6.626663344588091,4.0242200801393535,1787
CD86,7.277019710456767,6.807291494425053,3.996535724806525,136
SOX4,7.277199465731677,6.302083835849308,4.248855227293528,369
CRHBP,7.279454501740179,6.648739591786678,4.010826904728997,542
ADRA1B,7.296885322425864,6.53642521937623,4.189074479240477,574
CD36,7.3065919954571354,6.09950613043265,4.581359354398022,57
SYTL5,7.308600252912642,6.560098974936914,4.220729590107421,311
MAF,7.312604001334766,6.460734323061633,4.260295147238387,2810
ABCC9,7.316145205601107,6.839458658988148,3.9087229171806834,619
TP53,7.318539669732978,6.890739856941745,4.305516714437782,377
CD4,7.338122373783882,6.874661145838837,4.050161407779805,243
FGFR2,7.364493544449726,6.637922448519306,4.243249343237654,2889
CDK1,7.374158162585781,5.8374793261976174,4.151068697695985,51
SULF1,7.376261399319754,6.152730240649312,4.649101410993142,202
GAD2,7.383816990504365,6.626687106541226,4.196507721770248,2914
APH1A,7.385051893748687,6.867248537248278,4.06471521543744,1242
PROX1,7.395785725145962,6.692101366180028,4.12577810157746,1143
DNER,7.408182494745875,6.677982599663101,4.142745327111631,3715
ARHGAP24,7.408780143574701,7.738573474142214,4.370695150393617,144
NRP1,7.409344033640229,6.611039776391546,4.281530808011791,943
PSENEN,7.4166907704498435,6.975494904642145,4.146198441504447,407
CORO1A,7.4393269631336905,6.643675484999458,4.200675297745462,572
SEMA5A,7.442096529171631,6.847668764009564,4.0309997635936,1075
TGFBI,7.442821438374656,6.955439656455819,3.9327337788864902,243
ADRA1A,7.451836011403941,6.691866663949228,4.33038755440635,677
MYO16,7.454913899070207,6.634550505502394,4.389757000868693,691
SOX11,7.456206231451508,6.8337268253180055,4.109419176135828,323
TMIGD3,7.464266763543858,6.877960444152901,4.372617512683558,638
PSEN1,7.470728189583962,6.674051546181761,4.314825354450446,1600
CDH6,7.4834970792610696,7.005300800204574,4.22295038552551,570
GAS2L3,7.491954397593189,7.846252962185225,3.2842387975768363,13
RGS6,7.493112640444852,6.587515313898609,4.368100376656605,1567
CD68,7.4933843776075655,7.063661266155546,4.012957097238781,313
FGFR3,7.493967460314197,6.7006605293478865,4.304627335941927,1498
FCGR1A,7.495480571213085,6.2496217863067525,4.629289054271745,30
STAT3,7.495834084729482,6.8157501283700945,4.236055807288077,1834
CYTIP,7.51737011850381,6.109765891925907,4.153941867550842,50
APOD,7.526980183219954,7.0109050989886565,3.9840797776556864,5649
SPON1,7.52705066137601,6.862980904437626,4.2872312049417305,1577
VWC2,7.53694883908552,6.85872115722071,4.218258532775198,1682
SERPINA3,7.558619937593734,6.568968315886609,4.06966362124332,33
FSTL4,7.56176410096664,6.845889929540302,4.297400506322216,752
BCAN,7.570922804454023,6.819052527328897,4.403666022134506,1635
PLCXD3,7.583227139261721,6.799951919127272,4.304345923840284,599
MAL,7.603937664969842,6.870615605834151,4.118270716750648,860
BACE1,7.606169066600313,7.049913561309049,4.133233246350996,2083
CTSS,7.634723048181902,6.991315299856101,4.361704999047953,252
MEST,7.653484107138545,6.9754412392689265,4.163361740971728,5866
