Expansion_Distance,Capture_Reads,Global_Purity_Proxy
0.0,19328,0.6834975369458128
1.0,172737,0.6759577097349994
2.0,461438,0.649799238134459
3.0,854378,0.6119770533090807
4.0,1309520,0.5677846441604166
5.0,1793457,0.5266127186309227
6.0,2276652,0.4877110334242838
7.0,2741347,0.44884919577001686
8.0,3175944,0.41006111605908907
9.0,3567808,0.375564681724846
10.0,3915166,0.34691290173497047
11.0,4223520,0.3229525568790499
12.0,4498963,0.30353910628190006
13.0,4740798,0.28779201516212766
14.0,4947656,0.27535632115954023
15.0,5119197,0.26583891691909706
