cell_id,min,max,std,z_range
UNASSIGNED,11.222725,35.98608,2.475712498251651,24.763355
aaaaieod-1,14.332141,19.699274,1.1940056049201193,5.367132999999999
aaadabdh-1,14.559683,21.061848,1.4314234463635085,6.5021650000000015
aaaepfof-1,14.476325,21.127121,1.2841542859705946,6.650796
aaanldfc-1,14.169647,20.08663,1.3229916319080923,5.916983
aaaonnnp-1,14.067802,19.030071,1.1910988116054735,4.962268999999999
aabfjnfi-1,14.525034,20.854927,1.1855798366794454,6.329893
aabjifjp-1,14.094737,19.83303,1.3773075028408148,5.7382930000000005
aacdphll-1,14.34625,23.622656,1.197703845833952,9.276406
aacgchbe-1,14.457097,21.732582,1.1107112128290484,7.2754850000000015
aacifinp-1,14.267495,20.660593,1.1731541484874197,6.393097999999998
aaciipgf-1,14.165992,22.14417,1.1886238113030563,7.978178
aacimejo-1,14.06172,22.922525,1.59140291234632,8.860805000000001
aackgnci-1,14.086494,20.77453,1.248749267738164,6.6880359999999985
aackpcgh-1,13.791247,24.111967,1.453897080103856,10.32072
aadefbff-1,14.20045,18.84073,1.1159630933474607,4.640280000000001
aaeaecjb-1,14.392363,18.011683,1.0223863660526133,3.619320000000002
aaeancld-1,14.488829,21.327826,1.6562464223574076,6.838997000000001
aaecmcpp-1,14.408694,20.01781,1.189449534264298,5.609116
aaecnlbp-1,14.478091,20.073812,1.3344009353010602,5.595721000000001
aaedllcb-1,14.18691,18.048325,1.106636490230146,3.861414999999999
aaelbfjl-1,14.018786,20.825165,1.2563080077385564,6.806378999999998
aaenbmif-1,14.658565,20.579502,1.040249191848929,5.920937000000002
aaepooik-1,14.688618,19.673283,1.0404413886468613,4.9846650000000015
aafadphf-1,14.49189,20.38768,1.3760367673581881,5.89579
aafaikac-1,14.4682665,19.745752,1.3507311119711558,5.277485499999999
aafbkemm-1,14.359675,22.146444,1.6359345549279178,7.786769
aafcabil-1,14.965399,19.003078,1.039445164307067,4.037678999999999
aafckdjp-1,14.33452,19.60397,1.605878626604508,5.269450000000001
aaffppjc-1,14.63696,19.205645,1.2457310008015032,4.568685
aafgjpdg-1,14.421918,21.667076,1.8072425562990633,7.245158000000002
aafipjfc-1,14.230105,20.074724,1.2714422759113155,5.844619
aafjmdoo-1,14.463364,20.61463,1.2303662468966374,6.151265999999998
aaflcmeb-1,14.047025,21.669065,1.171937783119092,7.62204
