Combination,Silhouette
nuc_qv0_ng6_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,0.012168827466666698
cell_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,0.009852411225438118
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_False_norm_True_log_True_louv,0.001892868080176413
DEFAULT_louv,0.00010569419828243554
nuc_qv0_ng12_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.0016507644904777408
nuc_qv0_ng16_pc0_ts1000_hvg_False_scale_True_norm_True_log_True_louv,-0.004522113595157862
nuc_qv0_ng20_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.007214109878987074
nuc_qv20_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.01519779209047556
nuc_qv0_ng16_pc0_tsNone_hvg_False_scale_True_norm_True_log_True_louv,-0.016431452706456184
nuc_qv0_ng16_pc25_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.022889770567417145
nuc_qv30_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.028402863070368767
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_False_log_True_louv,-0.029341356828808784
nuc_qv0_ng16_pc15_ts100_hvg_False_scale_True_norm_True_log_True_louv,-0.04160017520189285
nuc_qv0_ng16_pc0_ts10_hvg_False_scale_True_norm_True_log_True_louv,-0.047660715878009796
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_False_louv,-0.05474651977419853
nuc_qv0_ng16_pc0_ts100_hvg_True_scale_True_norm_True_log_True_louv,-0.14818009734153748
